id,artist_names,track_name,source,key,mode,time_signature,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,weeks_on_chart,streams
00ko9WaS4jOX1kEk3gvHjf,"Chance the Rapper, MadeinTYO, DaBaby",Hot Shower,Chance the Rapper,A,Major,4 beats,0.899,0.509,0.387,0.00157,0.0,0.0573,0.599,-8.04,150.001,225924,4,22273873
00lNx0OcTJrS3MKHcB80HY,"Jax Jones, RAYE",You Don't Know Me (feat. RAYE),Polydor Records,B,Minor,4 beats,0.876,0.669,0.138,0.163,0.0,0.185,0.682,-6.054,124.007,213947,36,256587576
00rxTS5TKv3oXpDA6nWfBi,"KZA Produções, wonda",Maria Mariah,wonda & oclody,B,Minor,4 beats,0.648,0.873,0.334,0.194,5.13e-06,0.291,0.776,-0.56,130.003,118154,2,19220630
00syWkRGIVQvYsg2OwfBUw,Zach Bryan,East Side of Sorrow,Warner Records,A#/Bb,Major,4 beats,0.408,0.607,0.0391,0.236,8.02e-05,0.0972,0.169,-7.463,144.136,209320,1,10150926
017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,E,Minor,4 beats,0.73,0.729,0.0884,0.167,1.39e-06,0.349,0.467,-3.434,113.011,221820,65,678936475
01DOm09B2AbiTARAbXVI6g,"ScHoolboy Q, Travis Scott",CHopstix (feat. Travis Scott),Top Dawg Entertainment/Interscope Records,A,Minor,4 beats,0.958,0.6,0.118,0.0391,0.0,0.274,0.607,-6.996,127.933,181153,2,11037789
01K4zKU104LyJ8gMb7227B,"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,C,Major,4 beats,0.606,0.377,0.0275,0.817,0.0,0.154,0.446,-9.455,101.96,258813,2,22729805
01Qb6dN5suQNu87VJ1mIpf,Lil Tecca,Did It Again,Republic Records,C#/Db,Major,4 beats,0.699,0.575,0.159,0.218,0.0,0.112,0.234,-9.922,148.767,116240,2,10628742
01TnVDiet1DFTsyWKUKovl,XXXTENTACION,NUMB,"Bad Vibes Forever, LLC",B,Minor,4 beats,0.414,0.416,0.0251,0.1,0.179,0.131,0.196,-8.024,159.91,186268,10,58613459
01dmH2IPkrLNWIMPNXlreE,BTS,Paradise,BIGHIT MUSIC,F,Major,4 beats,0.519,0.828,0.365,0.214,0.0,0.0571,0.929,-5.523,139.413,211224,1,5560683
01hEpx8jnOG4q7nDK14Rhi,sangiovanni,malibu,Universal Music Italia srL. (Sugar),G,Minor,4 beats,0.733,0.736,0.111,0.028,0.0,0.131,0.669,-5.123,147.897,166216,8,52348105
01k24g94i1JvkFLQmVEdCd,Olly Alexander (Years & Years),If You're Over Me,Polydor Records,G#/Ab,Major,4 beats,0.647,0.853,0.0904,0.0615,0.0,0.062,0.618,-4.516,103.846,189000,5,22679910
01ppKlDRCmPpusO3yNrSRY,"Bad Bunny, Luar La L",TELEFONO NUEVO,Rimas Entertainment LLC,D,Major,4 beats,0.619,0.619,0.491,0.407,0.0,0.0932,0.393,-6.238,125.752,354784,2,31249185
01qFKNWq73UfEslI0GvumE,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),BIGHIT MUSIC,C#/Db,Major,4 beats,0.853,0.824,0.103,0.0322,0.0,0.0859,0.888,-3.287,108.044,201812,24,412798895
01uk7IzZyFNfQTDBXxx6NB,Sam Smith,One Last Song,Capitol,C#/Db,Major,3 beats,0.672,0.53,0.0284,0.367,0.0,0.321,0.485,-6.43,103.326,192922,2,11063179
01vR5Z7AHinp9D2wu2BNQS,RIN,UP IN SMOKE,GOLD LEAGUE/DIVISION,E,Minor,4 beats,0.791,0.663,0.153,0.235,2.13e-05,0.117,0.314,-5.655,77.494,174600,1,5126611
01vv2AjxgP4uUyb8waYO5Y,Twenty One Pilots,Morph,Fueled By Ramen,G#/Ab,Minor,4 beats,0.734,0.607,0.0806,0.0747,0.000577,0.0968,0.518,-7.249,90.023,258853,2,12618211
01z2fBGB8Hl3Jd3zXe4IXR,Mac Miller,Come Back to Earth,Warner Records,D,Minor,4 beats,0.272,0.238,0.0349,0.89,0.00925,0.275,0.119,-12.148,83.507,161840,1,5713873
020wG4EHTwBy5h2rbpxqvK,"Marracash, thasup, Sfera Ebbasta",SUPREME - L'ego,Universal Music Italia srL.,A,Major,4 beats,0.656,0.661,0.0602,0.0686,0.0,0.125,0.509,-5.888,140.956,223045,2,10401867
021lWIHJrURZrmvYQ1xcM8,"Future, Lil Uzi Vert",All Bad (feat. Lil Uzi Vert),Epic/Freebandz,F#/Gb,Minor,4 beats,0.931,0.667,0.318,0.0144,0.0,0.15,0.667,-7.043,142.039,207739,1,6194224
0247StOpd3AkeBQzANX4Zf,Band Aid,Do They Know It's Christmas? - 1984 Version,EMI,C,Major,4 beats,0.599,0.642,0.0363,0.164,3.33e-05,0.0992,0.349,-6.936,115.412,222533,26,245198355
02FaKXXL7KUtRc7K0k54tL,Katy Perry,Cozy Little Christmas,Capitol Records,G,Major,4 beats,0.774,0.608,0.128,0.128,0.0,0.0895,0.56,-6.264,137.494,182521,2,12910536
02LZ1fGJE8fB56yTlCVMEV,"Iggy Azalea, Anitta",Switch,Def Jam Recordings,B,Minor,4 beats,0.914,0.624,0.0531,0.00348,0.00389,0.395,0.346,-6.112,109.977,189600,1,3934056
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,B,Major,4 beats,0.761,0.525,0.0944,0.44,6.7e-06,0.0921,0.531,-6.9,80.87,238805,120,2265473708
02RCbjb9czvQKNGBmEmWob,Lil Baby,Woah,Quality Control/Motown Records,B,Major,4 beats,0.883,0.599,0.248,0.0177,0.0,0.179,0.413,-5.551,142.976,183011,21,31573174
02VBYrHfVwfEWXk5DXyf0T,"Bruno Mars, Anderson .Paak, Silk Sonic",Leave The Door Open,Aftermath Entertainment/Atlantic,F,Major,4 beats,0.586,0.616,0.0324,0.182,0.0,0.0927,0.719,-7.964,148.088,242096,63,63112934
02WacdrRpm4zlP8H7X6bnQ,Calum Scott,Dancing On My Own,Capitol Records (US1A),C#/Db,Major,4 beats,0.608,0.174,0.0332,0.851,1.92e-05,0.0855,0.193,-8.796,112.175,260004,9,31768840
02itaCXOdC54J0ISjqqFAp,"R3HAB, A Touch Of Class",All Around The World (La La La),Virgin,A,Minor,4 beats,0.733,0.859,0.033,0.479,0.0645,0.105,0.52,-5.03,124.948,147840,15,104395994
02jLfqc9gMo8PkHEGHY3OT,Feid,Si Te La Encuentras Por Ahí,UMLE - Latino,G#/Ab,Minor,4 beats,0.743,0.576,0.076,0.151,5.87e-05,0.128,0.455,-3.552,171.945,191573,5,39023638
02kDW379Yfd5PzW5A6vuGt,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,C#/Db,Minor,4 beats,0.799,0.66,0.079,0.256,0.0,0.111,0.471,-6.153,140.04,195429,2,19804278
02wk5BttM0QL38ERjLPQJB,NewJeans,Cool With You,ADOR,F,Minor,4 beats,0.752,0.65,0.12,0.653,0.00136,0.105,0.532,-6.683,134.993,147880,3,34474786
0314PeD1sQNonfVWix3B2K,"Beyoncé, BEAM",ENERGY (feat. Beam),Parkwood Entertainment/Columbia,C#/Db,Major,4 beats,0.903,0.519,0.26,0.281,0.000106,0.155,0.587,-9.151,114.991,116727,2,18328362
033if6Adj8fwBYsQzHOfQ8,"Capital Bra, Samra",100k Cash,Bra Musik,A#/Bb,Major,4 beats,0.701,0.714,0.524,0.289,0.0,0.0883,0.604,-5.906,86.91,173353,1,5192813
03B2SfXuvDh1m9F4tqrX07,Sabrina Carpenter,Skin,Island Records,G,Major,4 beats,0.557,0.457,0.0335,0.428,0.0,0.0567,0.328,-5.372,105.918,177500,5,37080517
03LfOYi0icz4souspZVVhq,"Bizarrap, Nicky Jam","Nicky Jam: Bzrp Music Sessions, Vol. 41",DALE PLAY Records,C#/Db,Minor,4 beats,0.627,0.849,0.153,0.0913,0.0,0.145,0.818,-3.167,89.907,158087,8,80154473
03NqHNdG3Ur6kciQWK6e8V,"Camila Cabello, Myke Towers, Tainy",Oh Na Na,Epic,C,Major,4 beats,0.744,0.862,0.0622,0.0715,5.58e-06,0.0889,0.688,-3.446,115.021,203653,1,5412180
03T4ttRCiLXST6MZjeMwmR,Coldplay,Orphans,Parlophone UK,B,Minor,4 beats,0.503,0.808,0.0451,0.0258,0.00149,0.557,0.282,-5.051,107.973,197533,6,12415244
03eJ2DclFWXYU8GWgANdmZ,"XXXTENTACION, PnB Rock, Trippie Redd",bad vibes forever (feat. PnB Rock & Trippie Redd),Bad Vibes Forever / EMPIRE,G#/Ab,Major,4 beats,0.8,0.526,0.0716,0.334,0.00174,0.0571,0.746,-5.153,129.874,150475,2,7148151
03fs6oV5JAlbytRYf3371S,Morgan Wallen,Everything I Love,Big Loud Records / Mercury Records / Republic Records,G#/Ab,Major,4 beats,0.568,0.841,0.0261,0.00514,0.000503,0.147,0.668,-3.802,103.983,187047,1,9920740
03hqMhmCZiNKMSPmVabPLP,"Lana Del Rey, A$AP Rocky",Groupie Love (feat. A$AP Rocky),Polydor Records,A,Major,4 beats,0.359,0.6,0.0398,0.113,1.32e-06,0.0952,0.195,-7.317,175.894,264038,1,3685086
03iCbZaM4OkRR4We6wIzvx,"BTS, Nicki Minaj",IDOL,BIGHIT MUSIC,A,Major,4 beats,0.709,0.857,0.0881,0.00219,0.0,0.103,0.446,-3.394,126.038,260234,4,22192073
03mMSLEJCPoGJwQhHpN5y0,Harry Styles,Treat People With Kindness,Columbia,F,Major,4 beats,0.653,0.869,0.0382,0.128,2.2e-05,0.046,0.697,-3.725,122.017,197347,1,7800929
03rwnftfgpYVO6QDWOZcG6,Drake,Drew A Picasso,OVO/Republic,G,Major,4 beats,0.707,0.334,0.244,0.375,0.0,0.17,0.143,-12.792,127.944,262769,1,12574912
03vyB3AHCuEGfhh7wPc7Yf,Shawn Mendes,When You're Ready,Island Records,F,Major,4 beats,0.49,0.473,0.129,0.792,0.0,0.113,0.603,-8.887,171.535,169587,1,4203767
03wOsqNRdFZAgwo708sjw2,Lana Del Rey,Say Yes To Heaven,Polydor Records,F#/Gb,Minor,4 beats,0.497,0.359,0.0259,0.749,0.0923,0.117,0.179,-11.532,99.922,209156,3,16404321
03x2rVJRFUrvwlfxoHd9Mo,Tom Walker,Just You and I,Relentless Records,A,Major,4 beats,0.567,0.696,0.301,0.456,0.0,0.113,0.544,-5.416,92.061,174983,10,59898803
03y045SZqaC94yfXl1cU4E,"Soso Maness, PLK",Petrouchka (feat. PLK),RCA Group,F#/Gb,Major,4 beats,0.624,0.802,0.311,0.0597,0.0,0.252,0.818,-4.818,133.888,189933,3,17931439
042Sl6Mn83JHyLEqdK7uI0,Billie Eilish,Your Power,Darkroom/Interscope Records,A,Minor,4 beats,0.632,0.284,0.0801,0.932,0.000476,0.233,0.208,-14.025,129.642,245897,12,14423902
042x9bsUBWW2fJgJ6fUh61,"DVBBS, CMC$, Gia Koka",Not Going Home (feat. Gia Koka),"Ultra Records, LLC",F#/Gb,Major,4 beats,0.713,0.733,0.152,0.0933,2.23e-05,0.237,0.502,-6.431,108.992,196307,9,34951697
044qU7kwVZaDwzWnRsmVVL,The xx,I Dare You,Young,C#/Db,Major,4 beats,0.752,0.543,0.0398,0.623,0.0706,0.107,0.282,-9.483,126.001,233280,1,2692337
045ZeOHPIzhxxsm8bq5kyE,Taylor Swift,Out Of The Woods (Taylor's Version),Taylor Swift,C,Major,4 beats,0.547,0.885,0.0418,0.000512,9.37e-05,0.39,0.192,-5.961,91.992,235800,2,38569517
04CqLjewJiSAqM210vZAmT,Miley Cyrus,River,Columbia,A,Major,4 beats,0.613,0.803,0.0367,0.000525,0.000333,0.189,0.461,-5.171,127.989,162973,4,49327260
04CttTezSnv71USiiG9mIo,"Hearts & Colors, Andrelli",Lighthouse - Andrelli Remix,Firefly Entertainment,B,Minor,4 beats,0.595,0.662,0.0362,0.0178,0.0,0.0804,0.417,-6.858,96.053,218447,10,46223688
04CyMEHliadfQWMUJb1w99,"¥$, Kanye West, Ty Dolla $ign",BURN,Ye,B,Minor,4 beats,0.6,0.885,0.393,0.0157,6.02e-06,0.856,0.736,-6.21,105.003,111458,5,76343158
04DwTuZ2VBdJCCC5TROn7L,"Martin Garrix, Bebe Rexha",In the Name of Love,Epic Amsterdam,E,Minor,4 beats,0.49,0.485,0.0406,0.0592,0.0,0.337,0.196,-6.237,133.889,195840,38,235182404
04MLEeAMuV9IlHEsD8vF6A,"French Montana, Drake",No Stylist (feat. Drake),Epic,F,Minor,4 beats,0.765,0.704,0.127,0.0215,0.0,0.227,0.498,-4.589,147.055,192172,25,188011040
04S1pkp1VaIqjg8zZqknR5,Taylor Swift,Enchanted,"Big Machine Records, LLC",G#/Ab,Major,4 beats,0.535,0.618,0.0273,0.0716,0.000388,0.169,0.228,-3.913,81.975,352200,11,74227985
04WxWo7XeVyx22xEsrWRUb,Travis Scott,GOD'S COUNTRY,Cactus Jack/Epic,D,Major,4 beats,0.624,0.65,0.0358,0.0229,1.21e-05,0.145,0.138,-5.819,150.048,127992,2,28806766
04ZTP5KsCypmtCmQg5tH9R,Bebe Rexha,I'm a Mess,Warner Records,B,Minor,4 beats,0.63,0.694,0.0253,0.00281,0.0,0.0719,0.216,-6.257,97.005,195519,35,210746577
04cd1MHVq1D8v1nuTZoCdv,Piso 21,Puntos Suspensivos,WM Mexico,B,Minor,4 beats,0.823,0.731,0.103,0.175,0.0,0.131,0.952,-3.399,152.024,186316,3,13544517
04ndZkbKGthTgYSv3xS7en,TINI,Cupido,5020 Records,A,Major,4 beats,0.913,0.584,0.223,0.521,5.36e-05,0.307,0.627,-5.263,119.873,174370,16,173894630
04sN26COy28wTXYj3dMoiZ,Billie Eilish,Bored,Darkroom,G,Major,4 beats,0.614,0.318,0.0478,0.896,0.00239,0.0795,0.112,-12.695,119.959,180933,23,154478480
053zWWZDziDJd3U94x8RuP,"Marília Mendonça, Maiara & Maraisa",Todo Mundo Menos Você,Som Livre,G,Major,4 beats,0.778,0.641,0.0449,0.753,0.0,0.104,0.434,-5.258,131.914,206171,7,44855983
059bcIhyc2SBwm6sw2AZzd,"Piso 21, Micro TDH",Te Vi,WM Mexico,C#/Db,Major,4 beats,0.877,0.777,0.117,0.0446,3.46e-05,0.0863,0.706,-4.246,102.02,231848,27,209890194
05CgKydlFJALNy4JTHeMgs,Eminem,Framed,Aftermath,G,Major,4 beats,0.744,0.821,0.161,0.0113,0.0,0.259,0.762,-3.009,145.982,252960,1,5151530
05CwHjIk71RXVU40boRMnR,"The Chainsmokers, Bebe Rexha",Call You Mine,Disruptor Records/Columbia,G,Major,4 beats,0.591,0.702,0.0289,0.225,0.0,0.414,0.501,-5.59,104.003,217653,11,133013992
05GsNucq8Bngd9fnd4fRa0,Taylor Swift,Begin Again (Taylor's Version),Taylor Swift,G,Major,4 beats,0.519,0.527,0.0274,0.075,0.0,0.132,0.267,-7.673,78.915,238867,1,9744763
05KOgYg8PGeJyyWBPi5ja8,Drake,Free Smoke,Cash Money Records/Young Money Ent./Universal Rec.,A#/Bb,Minor,4 beats,0.736,0.491,0.439,0.0681,0.0,0.571,0.203,-6.892,141.979,218674,7,52659150
05WVKTdZhlIMX4qqMLuo0f,"Peso Pluma, Anitta",BELLAKEO,Double P Records,A,Major,4 beats,0.72,0.88,0.101,0.0562,0.06,0.153,0.463,-2.834,180.011,197333,14,248139959
05WepN8vrMLJG5r8XRdLeL,DaBaby,INTRO,South Coast Music Group/Interscope Records,C,Minor,4 beats,0.862,0.685,0.242,0.0342,0.0,0.204,0.672,-7.699,100.024,172800,1,7056413
05X6aMCQR09E6smUmw9qms,Queen,Thank God It's Christmas - Non-Album Single,EMI,G,Major,5 beats,0.296,0.421,0.0285,0.214,0.0,0.232,0.335,-8.891,83.425,261627,1,4345690
05Z7jet4VDNVgNQWcYHnrk,"Chris Brown, USHER, Gucci Mane",Party (feat. Usher & Gucci Mane),RCA Records Label,C#/Db,Minor,4 beats,0.762,0.576,0.0829,0.0556,0.0,0.0869,0.316,-4.951,142.096,220813,5,14265873
05ZXXyeZFhZtA6DAP3Aw7x,"Maite Perroni, Cali Y El Dandee",Loca (feat. Cali y El Dandee),WM Mexico,A,Major,4 beats,0.751,0.839,0.054,0.11,0.0,0.0865,0.639,-3.367,95.019,234366,5,15404365
05aZ9sAU1YXndHv0FMi9iW,"Drake, Fivio Foreign, Sosa Geek",Demons (feat. Fivio Foreign & Sosa Geek),OVO,C,Minor,3 beats,0.543,0.766,0.343,0.423,0.0,0.155,0.729,-3.387,106.869,204805,2,14702818
05bfbizlM5AX6Mf1RRyMho,"Nio Garcia, J Balvin, Bad Bunny",AM Remix,Flow La Movie,F#/Gb,Minor,4 beats,0.743,0.655,0.159,0.114,0.0,0.0764,0.785,-5.015,172.031,261335,36,371254425
05bnEv2dpFzmGVLGdjD9UP,XXXTENTACION,Orlando,Bad Vibes Forever / EMPIRE,C#/Db,Major,4 beats,0.57,0.0279,0.0588,0.859,0.0892,0.254,0.28,-22.282,84.902,163840,1,4648148
05mAIVLkIWc2d1UBYZBCp8,"Charli XCX, Troye Sivan",1999,Atlantic Records UK,G,Major,4 beats,0.739,0.742,0.0329,0.0227,1.39e-06,0.229,0.659,-4.586,124.016,189000,7,37581668
05mDaV9Vb3wrzjF6OPZnhq,Post Malone,Saint-Tropez,Republic Records,C,Major,4 beats,0.617,0.684,0.0439,0.0545,0.0,0.104,0.295,-3.618,132.113,150867,13,130271583
05r1GGg1Rhs0RcUg27C82a,"Lil Wayne, Reginae Carter",Famous (feat. Reginae Carter),"Young Money Records, Inc.",A,Major,4 beats,0.623,0.568,0.144,0.0302,0.0,0.25,0.115,-5.664,149.852,242050,1,9005862
05rJdH2MRLJ3sQoEUO78qs,Anitta,Paradinha,WM Brazil,B,Minor,4 beats,0.695,0.775,0.0887,0.0117,0.191,0.0702,0.869,-5.041,180.054,141317,10,37423939
05t7JMip6JrLuSrMV5yYjX,Calboy,Envy Me,Polo Grounds Music/RCA Records,B,Major,4 beats,0.556,0.481,0.313,0.282,0.0,0.216,0.581,-7.663,149.025,120137,13,75368218
05tGmdz9dVZ4yGqz4YJdPK,"Christian Nodal, Peso Pluma",La Intención,"Producciones Ladon, S.A de C.V.",D,Major,3 beats,0.794,0.738,0.034,0.536,0.0,0.189,0.838,-3.842,131.857,249465,4,40277841
05zd5Nv0e02ZqrlC8A2cwx,Kendrick Lamar,United In Grief,pgLang/Top Dawg Entertainment/Aftermath/Interscope Records,G#/Ab,Major,3 beats,0.529,0.845,0.404,0.244,0.0,0.143,0.331,-8.142,85.63,255378,3,39604743
06FCvd7rrRcF3DdvWH5Isp,Kendrick Lamar,LUST.,Aftermath,D#/Eb,Minor,4 beats,0.678,0.562,0.508,0.193,0.0,0.104,0.566,-9.197,94.241,307880,5,35666980
06GcodDliPWAYFX2LSFLIu,Khalid,Vertigo,"Right Hand Music Group, LLC/RCA Records",E,Minor,4 beats,0.487,0.458,0.0371,0.552,0.0257,0.117,0.207,-7.761,115.989,270413,1,7437136
06Gyf2pFDVmN5K8XAawG96,"Future, Young Thug",No Cap,Epic/300/Atlantic Recording Corporation,C#/Db,Major,4 beats,0.8,0.523,0.107,0.00108,0.0,0.352,0.379,-6.578,147.057,144142,1,3345887
06JvOZ39sK8D8SqiqfaxDU,"Kanye West, XXXTENTACION",True Love,Columbia,F,Minor,4 beats,0.712,0.861,0.25,0.0182,6.09e-06,0.511,0.388,-5.487,84.042,148571,5,51482863
06Qo2fYR2KS1F7bL338iVT,"Jung Kook, Major Lazer",Closer to You (feat. Major Lazer),BIGHIT MUSIC,D,Minor,4 beats,0.781,0.655,0.0457,0.114,0.00249,0.103,0.493,-7.073,113.031,170995,1,12835896
06qMRF18gwbOYYbnP2du6i,Wham!,Last Christmas - Single Version,Sony Music CG,D,Major,4 beats,0.733,0.598,0.0278,0.212,3.71e-06,0.156,0.935,-8.228,107.732,265960,51,288301814
06s3QtMJVXw1AJX3UfvZG1,"Anuel AA, Bad Bunny",Hasta Que Dios Diga,"2020 Real Hasta La Muerte, LLC",G#/Ab,Major,4 beats,0.691,0.765,0.111,0.464,3.29e-06,0.203,0.855,-4.727,174.021,246000,25,199228985
06scTb0zbkxYNgpAB3J9fN,Megan Thee Stallion,B.I.T.C.H.,300 Entertainment,B,Minor,4 beats,0.742,0.731,0.306,0.0851,0.0,0.131,0.547,-4.362,174.019,183143,1,5215211
073ILU1C3APNRGF66VhtyA,Camila Cabello,Liar,Syco Music/Epic,B,Minor,4 beats,0.74,0.498,0.0456,0.0169,0.00282,0.319,0.652,-6.684,98.016,207039,22,60099553
079Ey5uxL04AKPQgVQwx5h,"Selena Gomez, Rauw Alejandro",Baila Conmigo (with Rauw Alejandro),Selena Gomez Latin Project,F,Major,4 beats,0.823,0.544,0.0715,0.0215,0.00315,0.0966,0.664,-7.132,149.903,186088,24,170621325
07FkzikE6FuHIa8Ma7zJGc,NF,Lie,NF Real Music,F,Major,4 beats,0.513,0.661,0.24,0.161,0.0,0.246,0.179,-6.419,94.791,209213,3,13416937
07KXEDMj78x68D884wgVEm,"Roddy Ricch, Mustard",High Fashion (feat. Mustard),Atlantic Records,B,Minor,4 beats,0.831,0.499,0.114,0.269,0.0,0.3,0.511,-8.442,97.956,220487,28,226108906
07MDkzWARZaLEdKxo6yArG,"THE ANXIETY, WILLOW, Tyler Cole",Meet Me At Our Spot,"MSFTSMusic / Roc Nation Records, LLC",D,Major,4 beats,0.773,0.47,0.0299,0.0153,0.000193,0.0851,0.399,-7.93,94.995,162680,30,287702449
07Oz5StQ7GRoygNLaXs2pd,"Lizzo, Ariana Grande",Good as Hell (feat. Ariana Grande) - Remix,Nice Life/Atlantic,F,Minor,4 beats,0.668,0.892,0.0645,0.298,0.0,0.735,0.478,-3.001,95.927,159011,16,133930267
07rmSXN6vNoquX1AsWd9pP,"Y2K, bbno$",Lalala,Columbia,D,Major,4 beats,0.843,0.391,0.0845,0.181,0.0,0.137,0.496,-7.899,129.972,160615,1,7748654
07s9NNOT0sZQp7TyolLLgu,"Stormzy, Burna Boy, Ed Sheeran",Own It (feat. Ed Sheeran & Burna Boy),Atlantic Records UK,G,Minor,4 beats,0.817,0.781,0.112,0.00838,5.21e-06,0.123,0.359,-4.178,104.0,216707,3,27419873
083Qf6hn6sFL6xiOHlZUyn,Jess Glynne,I'll Be There,Atlantic Records UK,G,Major,4 beats,0.623,0.851,0.0409,0.0228,0.0,0.12,0.4,-3.111,100.063,193924,15,84912372
086myS9r57YsLbJpU0TgK9,Arctic Monkeys,Why'd You Only Call Me When You're High?,Domino Recording Co,D,Major,4 beats,0.691,0.631,0.0368,0.0483,1.13e-05,0.104,0.8,-6.478,92.004,161124,118,593777301
08EPQiLMyGB8GJX2EiVoCM,"RAF Camora, Bonez MC",Blaues Licht,Indipendenza,G#/Ab,Minor,4 beats,0.819,0.835,0.102,0.398,0.00674,0.252,0.703,-4.899,144.955,144264,3,17794468
08F16baYbciTva9P4BvpiI,Travis Scott,MAFIA,Cactus Jack/Epic,C,Minor,4 beats,0.855,0.492,0.0483,0.0775,6.71e-06,0.111,0.385,-7.578,109.975,240000,2,19779022
08LwMWf5Tcfsd752EPzFV0,J. Cole,i n t e r l u d e,"Dreamville, Inc., Under exclusive license to Roc Nation Records",C#/Db,Major,3 beats,0.77,0.574,0.106,0.0617,0.0,0.104,0.104,-5.525,98.962,133022,3,27997415
08SB2OtZkaliju77WYEKxk,"Summer Walker, SZA",No Love (with SZA),LVRN/Interscope Records,C#/Db,Minor,4 beats,0.707,0.618,0.19,0.17,0.0,0.293,0.517,-5.825,133.876,231498,1,8425122
08WPvDEsHvTFuB9w8tC2OS,Sage The Gemini,Now and Later,Global Gemini,B,Minor,4 beats,0.781,0.57,0.188,0.273,0.0,0.196,0.858,-5.874,107.059,193181,15,116189090
08XWh5c0BMyD1nKVxxl91z,"Drake, Tems",Fountains (with Tems),OVO,A#/Bb,Minor,4 beats,0.843,0.485,0.195,0.181,0.0675,0.107,0.689,-8.735,100.053,192418,2,21968668
08aYFNUTIOMGq93e2VSArQ,"Rauw Alejandro, Nicky Jam",Que Le De,"Duars Entertainment, Corp.",C,Major,4 beats,0.77,0.75,0.0785,0.19,0.0,0.0618,0.609,-2.715,99.997,225600,1,4465013
08bNPGLD8AhKpnnERrAc6G,"Marshmello, Anne-Marie",FRIENDS,Atlantic Records UK,A,Minor,4 beats,0.626,0.88,0.0504,0.205,0.0,0.128,0.534,-2.384,95.079,202621,67,714909410
08fa9LFcFBTcilB3iq2e2A,Taylor Swift,epiphany,Taylor Swift,C#/Db,Major,4 beats,0.354,0.267,0.0281,0.731,0.000402,0.0858,0.113,-13.69,94.219,289749,2,20627791
08hm0V6cTsWDX62hW42sEv,The Chainsmokers,Sick Boy,Disruptor Records/Columbia,B,Minor,4 beats,0.548,0.58,0.121,0.104,0.0,0.127,0.462,-7.524,180.066,193893,17,22068526
0939D7aT18uBDS2MTjWzct,Coldplay,Higher Power,Parlophone UK,A#/Bb,Major,4 beats,0.507,0.828,0.0449,0.00711,2.44e-05,0.261,0.489,-6.023,178.032,211295,6,43707281
